book	chapter	verse	figure	english_snippet	note	source
01-genesis	1	5	merism	evening and morning	This refers to the whole day. The writer speaks of the whole day as if it were these two parts. In the Jewish culture, a day begins when the sun sets.	door43_utn
01-genesis	1	8	merism	evening and morning	This refers to the whole day. The writer speaks of the whole day as if it were these two parts. In the Jewish culture, a day begins when the sun sets. See how you translated this in [Genesis 1:5](../01/05.md).	door43_utn
01-genesis	1	13	merism	evening and morning	This refers to the whole day. The writer speaks of the whole day as if it were these two parts. In the Jewish culture, a day begins when the sun sets. See how you translated this in [Genesis 1:5](../01/05.md).	door43_utn
01-genesis	1	19	merism	evening and morning	This refers to the whole day. The writer speaks of the whole day as if it were these two parts. In the Jewish culture, a day begins when the sun sets. See how you translated this in [Genesis 1:5](../01/05.md).	door43_utn
01-genesis	1	22	doublet	Be fruitful and multiply	This is God’s blessing. He told the sea animals to produce more sea animals like themselves, so that there would be many of them in the seas. The word “multiply” explains how they are to be “fruitful.”	door43_utn
01-genesis	1	23	merism	evening and morning	This refers to the whole day. The writer speaks of the whole day as if it were these two parts. In the Jewish culture, a day begins when the sun sets. See how you translated this in [Genesis 1:5](../01/05.md).	door43_utn
01-genesis	1	26	doublet	in our image, after our likeness	These two phrases mean the same thing and emphasize that God made mankind to be like him. This verse does not tell in what ways God made people to be like himself. God does not have a body, so it does not mean that people would look like God. Alternate translation: “to truly be like us”	door43_utn
01-genesis	1	28	doublet	Be fruitful, and multiply	God told the man and the woman to produce more people like themselves so that there would be many of them. The word “multiply” explains how they are to be “fruitful.” See how you translated this in [Genesis 1:22](../01/22.md).	door43_utn
01-genesis	1	31	merism	evening and morning	This refers to the whole day. The writer speaks of the whole day as if it were these two parts. In the Jewish culture, a day begins when the sun sets. See how you translated this in [Genesis 1:5](../01/05.md).	door43_utn
01-genesis	2	9	merism	good and evil	This is a figure of speech that refers to both extremes and everything in between. Alternate translation: “everything, including both good and evil”	door43_utn
01-genesis	3	5	merism	knowing good and evil	Here “good and evil” is a figure of speech that refers to both extremes and everything in between. See how you translated “knowledge of good and evil” in [Genesis 2:9](../02/09.md). Alternate translation: “knowing everything, including both good and evil”	door43_utn
01-genesis	3	22	merism	knowing good and evil	Here “good and evil” is a figure of speech that refers to both extremes and everything in between. See how you translated “knowledge of good and evil” in [Genesis 2:9](../02/09.md). Alternate translation: “knowing everything, including both good and evil”	door43_utn
01-genesis	4	12	hendiadys	A fugitive and a wanderer	You can join these words together. Alternate translation: “A homeless wanderer”	door43_utn
01-genesis	5	29	doublet	from our work and from the painful labor of our hands	Lamech says the same thing twice to emphasize how hard the work was. Alternate translation: “from working so hard with our hands”	door43_utn
01-genesis	8	17	doublet	be fruitful and multiply	This is an idiom. See how this is translated in [Genesis 1:28](../01/28.md). God wanted the humans and animals to reproduce, so there would be many of them.	door43_utn
01-genesis	8	22	merism	cold and heat, summer and winter	These expressions both refer to two major weather conditions in the year. Translators may use local expressions.	door43_utn
01-genesis	9	1	doublet	Be fruitful, multiply, and fill the earth	This is God’s blessing. He told Noah and his family to produce more humans like themselves, so that there would be many of them. The word “multiply” explains how they are to be “fruitful.” See how you translated these commands in [Genesis 1:28](../01/28.md).	door43_utn
01-genesis	9	2	doublet	The fear of you and the dread of you	The words “fear” and “dread” mean basically the same thing and emphasize how afraid the animals will be of mankind. Alternate translation: “A dreadful fear of you” or “A terrible fear of you”	door43_utn
01-genesis	9	7	doublet	be fruitful and multiply	This is God’s blessing. He told Noah and his family to produce more humans like themselves, so that there would be many of them. The word “multiply” explains how they are to be “fruitful.” See how you translated this in [Genesis 1:28](../01/28.md).	door43_utn
01-genesis	19	11	merism	both young and old	“men of all ages.” This merism emphasizes that the visitors blinded all the men. This could indicate social standing rather than age. Alternate translation: “both small and great”	door43_utn
01-genesis	19	24	hendiadys	sulfur and fire	These two words are used together to describe one object. Alternate translation: “burning sulfur” or “fiery rain”	door43_utn
01-genesis	23	1	doublet	These were the years of the life of Sarah	Some translations do not include this sentence.	door43_utn
01-genesis	24	3	merism	the God of heaven and the God of the earth	“the God of heaven and earth.” The words “heaven” and “earth” are used together to mean every thing that God created. Alternate translation: “the God of everything in heaven and earth”	door43_utn
01-genesis	24	67	doublet	took Rebekah, and she became his wife	Both of these phrases mean that Isaac married Rebekah. Alternate translation: “married Rebekah” or “took her as his wife”	door43_utn
01-genesis	25	8	doublet	Abraham breathed his last and died	“Abraham took his last breath and died.” The phrases “breathed his last” and “died” mean basically the same thing. Alternate translation: “Abraham died”	door43_utn
01-genesis	25	8	doublet	at a good old age, an old man with a full life	These two phrases mean basically the same thing and emphasize that Abraham lived a very long time. Alternate translation: “when he had lived a very long time and was very old”	door43_utn
01-genesis	25	17	doublet	breathed his last and died	The terms “breathed his last” and “died” mean basically the same thing. Alternate translation: “died”	door43_utn
01-genesis	28	3	doublet	make you fruitful and multiply you	The word “multiply” explains how God would make Jacob “fruitful.” Alternate translation: “give you many children and descendants”	door43_utn
01-genesis	28	17	doublet	the house of God…the gate of heaven	The phrase “the gate of heaven” explains that this place is the entrance to “the house of God” and “the entrance to where God lives.”	door43_utn
01-genesis	31	24	merism	Be careful that you speak to Jacob neither good nor bad	The phrase “good nor bad” are used together to mean “anything.” Alternate translation: “Do not say anything to try and stop Jacob from leaving”	door43_utn
